diffuser diameter (mm), diffuser flow, manifold diameter, number channels, bottom height, slab height, diffuser spacing, number diffusers, channel width, floc blanket space
3,0.6605 liter / second,2 inch,7.0,3 inch,30 millimeter,10.62 millimeter,211 dimensionless,0.2889 meter,2.067 meter
4,1.074 liter / second,3 inch,4.0,3 inch,40 millimeter,11.62 millimeter,193 dimensionless,0.4699 meter,1.959 meter
5,1.548 liter / second,3 inch,3.0,3 inch,50 millimeter,12.62 millimeter,178 dimensionless,0.6771 meter,1.836 meter
6,2.066 liter / second,4 inch,2.0,3 inch,60 millimeter,13.62 millimeter,165 dimensionless,0.9038 meter,1.701 meter
7,2.625 liter / second,6 inch,1.0,3 inch,70 millimeter,14.62 millimeter,154 dimensionless,1.148 meter,1.555 meter
8,3.206 liter / second,6 inch,1.0,3 inch,80 millimeter,15.62 millimeter,144 dimensionless,1.402 meter,1.404 meter
9,3.804 liter / second,6 inch,1.0,3 inch,90 millimeter,16.62 millimeter,135 dimensionless,1.664 meter,1.248 meter
10,4.452 liter / second,6 inch,1.0,3 inch,100 millimeter,17.62 millimeter,128 dimensionless,1.948 meter,1.079 meter
11,5.093 liter / second,6 inch,1.0,3 inch,110 millimeter,18.62 millimeter,121 dimensionless,2.228 meter,0.912 meter
12,5.76 liter / second,8 inch,0.0,3 inch,120 millimeter,19.62 millimeter,115 dimensionless,2.52 meter,0.738 meter
13,6.407 liter / second,8 inch,0.0,3 inch,130 millimeter,20.62 millimeter,109 dimensionless,2.803 meter,0.5692 meter
14,7.09 liter / second,8 inch,0.0,3 inch,140 millimeter,21.62 millimeter,104 dimensionless,3.102 meter,0.3913 meter
15,7.826 liter / second,8 inch,0.0,3 inch,150 millimeter,22.62 millimeter,100 dimensionless,3.424 meter,0.1994 meter
16,8.548 liter / second,8 inch,0.0,3 inch,160 millimeter,23.62 millimeter,96 dimensionless,3.739 meter,0.01119 meter
17,9.248 liter / second,8 inch,0.0,3 inch,170 millimeter,24.62 millimeter,92 dimensionless,4.046 meter,-0.1712 meter
18,9.917 liter / second,10 inch,0.0,3 inch,180 millimeter,25.62 millimeter,88 dimensionless,4.338 meter,-0.3457 meter
19,10.67 liter / second,10 inch,0.0,3 inch,190 millimeter,26.62 millimeter,85 dimensionless,4.669 meter,-0.5427 meter
20,11.41 liter / second,10 inch,0.0,3 inch,200 millimeter,27.62 millimeter,82 dimensionless,4.991 meter,-0.7345 meter
21,12.12 liter / second,10 inch,0.0,3 inch,210 millimeter,28.62 millimeter,79 dimensionless,5.301 meter,-0.9193 meter
22,12.79 liter / second,10 inch,0.0,3 inch,220 millimeter,29.62 millimeter,76 dimensionless,5.597 meter,-1.096 meter
23,13.62 liter / second,10 inch,0.0,3 inch,230 millimeter,30.62 millimeter,74 dimensionless,5.956 meter,-1.31 meter
24,14.43 liter / second,10 inch,0.0,3 inch,240 millimeter,31.62 millimeter,72 dimensionless,6.31 meter,-1.521 meter
25,15.22 liter / second,12 inch,0.0,3 inch,250 millimeter,32.62 millimeter,70 dimensionless,6.657 meter,-1.727 meter
26,15.75 liter / second,12 inch,0.0,3 inch,260 millimeter,33.62 millimeter,67 dimensionless,6.891 meter,-1.867 meter
27,16.74 liter / second,12 inch,0.0,3 inch,270 millimeter,34.62 millimeter,66 dimensionless,7.321 meter,-2.123 meter
28,17.45 liter / second,12 inch,0.0,3 inch,280 millimeter,35.62 millimeter,64 dimensionless,7.635 meter,-2.31 meter
29,18.14 liter / second,12 inch,0.0,3 inch,290 millimeter,36.62 millimeter,62 dimensionless,7.934 meter,-2.488 meter
30,18.78 liter / second,12 inch,0.0,3 inch,300 millimeter,37.62 millimeter,60 dimensionless,8.216 meter,-2.657 meter
31,20.06 liter / second,12 inch,0.0,2.795 inch,310 millimeter,38.1 millimeter,60 dimensionless,8.773 meter,-2.988 meter
32,21.37 liter / second,16 inch,0.0,2.402 inch,320 millimeter,38.1 millimeter,60 dimensionless,9.348 meter,-3.331 meter
33,22.73 liter / second,16 inch,0.0,2.008 inch,330 millimeter,38.1 millimeter,60 dimensionless,9.942 meter,-3.685 meter
34,24.13 liter / second,16 inch,0.0,1.614 inch,340 millimeter,38.1 millimeter,60 dimensionless,10.55 meter,-4.049 meter
