diffuser diameter (mm), diffuser flow, manifold diameter, number channels, bottom height, slab height, diffuser spacing, number diffusers, channel width, floc blanket space
3,0.5353 liter / second,2 inch,9.0,4 inch,30 millimeter,13.16 millimeter,171 dimensionless,0.2342 meter,2.1 meter
4,0.8849 liter / second,3 inch,5.0,4 inch,40 millimeter,14.16 millimeter,159 dimensionless,0.3871 meter,2.009 meter
5,1.287 liter / second,3 inch,4.0,4 inch,50 millimeter,15.16 millimeter,148 dimensionless,0.563 meter,1.904 meter
6,1.741 liter / second,4 inch,3.0,4 inch,60 millimeter,16.16 millimeter,139 dimensionless,0.7614 meter,1.786 meter
7,2.233 liter / second,4 inch,2.0,4 inch,70 millimeter,17.16 millimeter,131 dimensionless,0.9767 meter,1.657 meter
8,2.76 liter / second,6 inch,1.0,4 inch,80 millimeter,18.16 millimeter,124 dimensionless,1.208 meter,1.52 meter
9,3.325 liter / second,6 inch,1.0,4 inch,90 millimeter,19.16 millimeter,118 dimensionless,1.454 meter,1.373 meter
10,3.896 liter / second,6 inch,1.0,4 inch,100 millimeter,20.16 millimeter,112 dimensionless,1.704 meter,1.224 meter
11,4.503 liter / second,6 inch,1.0,4 inch,110 millimeter,21.16 millimeter,107 dimensionless,1.97 meter,1.066 meter
12,5.109 liter / second,6 inch,1.0,4 inch,120 millimeter,22.16 millimeter,102 dimensionless,2.235 meter,0.9077 meter
13,5.761 liter / second,8 inch,0.0,4 inch,130 millimeter,23.16 millimeter,98 dimensionless,2.52 meter,0.7378 meter
14,6.408 liter / second,8 inch,0.0,4 inch,140 millimeter,24.16 millimeter,94 dimensionless,2.803 meter,0.569 meter
15,7.044 liter / second,8 inch,0.0,4 inch,150 millimeter,25.16 millimeter,90 dimensionless,3.081 meter,0.4034 meter
16,7.658 liter / second,8 inch,0.0,4 inch,160 millimeter,26.16 millimeter,86 dimensionless,3.35 meter,0.2433 meter
17,8.343 liter / second,8 inch,0.0,4 inch,170 millimeter,27.16 millimeter,83 dimensionless,3.65 meter,0.06459 meter
18,9.016 liter / second,8 inch,0.0,4 inch,180 millimeter,28.16 millimeter,80 dimensionless,3.944 meter,-0.1107 meter
19,9.794 liter / second,10 inch,0.0,4 inch,190 millimeter,29.16 millimeter,78 dimensionless,4.284 meter,-0.3136 meter
20,10.43 liter / second,10 inch,0.0,4 inch,200 millimeter,30.16 millimeter,75 dimensionless,4.565 meter,-0.4806 meter
21,11.2 liter / second,10 inch,0.0,4 inch,210 millimeter,31.16 millimeter,73 dimensionless,4.898 meter,-0.6794 meter
22,11.95 liter / second,10 inch,0.0,4 inch,220 millimeter,32.16 millimeter,71 dimensionless,5.229 meter,-0.8763 meter
23,12.51 liter / second,10 inch,0.0,4 inch,230 millimeter,33.16 millimeter,68 dimensionless,5.473 meter,-1.022 meter
24,13.22 liter / second,10 inch,0.0,4 inch,240 millimeter,34.16 millimeter,66 dimensionless,5.784 meter,-1.207 meter
25,14.13 liter / second,10 inch,0.0,4 inch,250 millimeter,35.16 millimeter,65 dimensionless,6.181 meter,-1.444 meter
26,14.81 liter / second,12 inch,0.0,4 inch,260 millimeter,36.16 millimeter,63 dimensionless,6.48 meter,-1.622 meter
27,15.47 liter / second,12 inch,0.0,4 inch,270 millimeter,37.16 millimeter,61 dimensionless,6.766 meter,-1.792 meter
28,16.36 liter / second,12 inch,0.0,3.976 inch,280 millimeter,38.1 millimeter,60 dimensionless,7.157 meter,-2.026 meter
29,17.55 liter / second,12 inch,0.0,3.583 inch,290 millimeter,38.1 millimeter,60 dimensionless,7.678 meter,-2.336 meter
30,18.78 liter / second,12 inch,0.0,3.189 inch,300 millimeter,38.1 millimeter,60 dimensionless,8.216 meter,-2.657 meter
31,20.06 liter / second,12 inch,0.0,2.795 inch,310 millimeter,38.1 millimeter,60 dimensionless,8.773 meter,-2.988 meter
32,21.37 liter / second,16 inch,0.0,2.402 inch,320 millimeter,38.1 millimeter,60 dimensionless,9.348 meter,-3.331 meter
33,22.73 liter / second,16 inch,0.0,2.008 inch,330 millimeter,38.1 millimeter,60 dimensionless,9.942 meter,-3.685 meter
34,24.13 liter / second,16 inch,0.0,1.614 inch,340 millimeter,38.1 millimeter,60 dimensionless,10.55 meter,-4.049 meter
