diffuser diameter (mm), diffuser flow, manifold diameter, number channels, bottom height, slab height, diffuser spacing, number diffusers, channel width, floc blanket space
3,0.4477 liter / second,2 inch,11.0,5 inch,30 millimeter,15.7 millimeter,143 dimensionless,0.1958 meter,2.123 meter
4,0.7513 liter / second,3 inch,6.0,5 inch,40 millimeter,16.7 millimeter,135 dimensionless,0.3287 meter,2.044 meter
5,1.104 liter / second,3 inch,4.0,5 inch,50 millimeter,17.7 millimeter,127 dimensionless,0.4831 meter,1.952 meter
6,1.515 liter / second,3 inch,3.0,5 inch,60 millimeter,18.7 millimeter,121 dimensionless,0.6628 meter,1.844 meter
7,1.943 liter / second,4 inch,2.0,5 inch,70 millimeter,19.7 millimeter,114 dimensionless,0.8499 meter,1.733 meter
8,2.426 liter / second,4 inch,2.0,5 inch,80 millimeter,20.7 millimeter,109 dimensionless,1.061 meter,1.607 meter
9,2.93 liter / second,6 inch,1.0,5 inch,90 millimeter,21.7 millimeter,104 dimensionless,1.282 meter,1.476 meter
10,3.444 liter / second,6 inch,1.0,5 inch,100 millimeter,22.7 millimeter,99 dimensionless,1.506 meter,1.342 meter
11,3.998 liter / second,6 inch,1.0,5 inch,110 millimeter,23.7 millimeter,95 dimensionless,1.749 meter,1.197 meter
12,4.558 liter / second,6 inch,1.0,5 inch,120 millimeter,24.7 millimeter,91 dimensionless,1.994 meter,1.051 meter
13,5.173 liter / second,6 inch,1.0,5 inch,130 millimeter,25.7 millimeter,88 dimensionless,2.263 meter,0.891 meter
14,5.795 liter / second,8 inch,0.0,5 inch,140 millimeter,26.7 millimeter,85 dimensionless,2.535 meter,0.7289 meter
15,6.417 liter / second,8 inch,0.0,5 inch,150 millimeter,27.7 millimeter,82 dimensionless,2.807 meter,0.5666 meter
16,7.034 liter / second,8 inch,0.0,5 inch,160 millimeter,28.7 millimeter,79 dimensionless,3.077 meter,0.4058 meter
17,7.64 liter / second,8 inch,0.0,5 inch,170 millimeter,29.7 millimeter,76 dimensionless,3.342 meter,0.248 meter
18,8.34 liter / second,8 inch,0.0,5 inch,180 millimeter,30.7 millimeter,74 dimensionless,3.648 meter,0.06559 meter
19,9.041 liter / second,8 inch,0.0,5 inch,190 millimeter,31.7 millimeter,72 dimensionless,3.955 meter,-0.1172 meter
20,9.6 liter / second,10 inch,0.0,5 inch,200 millimeter,32.7 millimeter,69 dimensionless,4.2 meter,-0.263 meter
21,10.28 liter / second,10 inch,0.0,5 inch,210 millimeter,33.7 millimeter,67 dimensionless,4.496 meter,-0.4395 meter
22,10.94 liter / second,10 inch,0.0,5 inch,220 millimeter,34.7 millimeter,65 dimensionless,4.787 meter,-0.613 meter
23,11.78 liter / second,10 inch,0.0,5 inch,230 millimeter,35.7 millimeter,64 dimensionless,5.151 meter,-0.8302 meter
24,12.42 liter / second,10 inch,0.0,5 inch,240 millimeter,36.7 millimeter,62 dimensionless,5.434 meter,-0.9985 meter
25,13.04 liter / second,10 inch,0.0,5 inch,250 millimeter,37.7 millimeter,60 dimensionless,5.706 meter,-1.161 meter
26,14.11 liter / second,10 inch,0.0,4.764 inch,260 millimeter,38.1 millimeter,60 dimensionless,6.171 meter,-1.438 meter
27,15.21 liter / second,12 inch,0.0,4.37 inch,270 millimeter,38.1 millimeter,60 dimensionless,6.655 meter,-1.726 meter
28,16.36 liter / second,12 inch,0.0,3.976 inch,280 millimeter,38.1 millimeter,60 dimensionless,7.157 meter,-2.026 meter
29,17.55 liter / second,12 inch,0.0,3.583 inch,290 millimeter,38.1 millimeter,60 dimensionless,7.678 meter,-2.336 meter
30,18.78 liter / second,12 inch,0.0,3.189 inch,300 millimeter,38.1 millimeter,60 dimensionless,8.216 meter,-2.657 meter
31,20.06 liter / second,12 inch,0.0,2.795 inch,310 millimeter,38.1 millimeter,60 dimensionless,8.773 meter,-2.988 meter
32,21.37 liter / second,16 inch,0.0,2.402 inch,320 millimeter,38.1 millimeter,60 dimensionless,9.348 meter,-3.331 meter
33,22.73 liter / second,16 inch,0.0,2.008 inch,330 millimeter,38.1 millimeter,60 dimensionless,9.942 meter,-3.685 meter
34,24.13 liter / second,16 inch,0.0,1.614 inch,340 millimeter,38.1 millimeter,60 dimensionless,10.55 meter,-4.049 meter
