diffuser diameter (mm), diffuser flow, manifold diameter, number channels, bottom height, slab height, diffuser spacing, number diffusers
3,0.6605 liter / second,2 inch,7.0,3 inch,30 millimeter,0.4181 inch,211 dimensionless
4,1.074 liter / second,3 inch,4.0,3 inch,40 millimeter,0.4575 inch,193 dimensionless
5,1.548 liter / second,3 inch,3.0,3 inch,50 millimeter,0.4969 inch,178 dimensionless
6,2.066 liter / second,4 inch,2.0,3 inch,60 millimeter,0.5362 inch,165 dimensionless
7,2.625 liter / second,6 inch,1.0,3 inch,70 millimeter,0.5756 inch,154 dimensionless
8,3.206 liter / second,6 inch,1.0,3 inch,80 millimeter,0.615 inch,144 dimensionless
9,3.804 liter / second,6 inch,1.0,3 inch,90 millimeter,0.6543 inch,135 dimensionless
10,4.452 liter / second,6 inch,1.0,3 inch,100 millimeter,0.6937 inch,128 dimensionless
11,5.093 liter / second,6 inch,1.0,3 inch,110 millimeter,0.7331 inch,121 dimensionless
12,5.76 liter / second,8 inch,0.0,3 inch,120 millimeter,0.7724 inch,115 dimensionless
13,6.407 liter / second,8 inch,0.0,3 inch,130 millimeter,0.8118 inch,109 dimensionless
14,7.09 liter / second,8 inch,0.0,3 inch,140 millimeter,0.8512 inch,104 dimensionless
15,7.826 liter / second,8 inch,0.0,3 inch,150 millimeter,0.8906 inch,100 dimensionless
16,8.548 liter / second,8 inch,0.0,3 inch,160 millimeter,0.9299 inch,96 dimensionless
17,9.248 liter / second,8 inch,0.0,3 inch,170 millimeter,0.9693 inch,92 dimensionless
18,9.917 liter / second,10 inch,0.0,3 inch,180 millimeter,1.009 inch,88 dimensionless
19,10.67 liter / second,10 inch,0.0,3 inch,190 millimeter,1.048 inch,85 dimensionless
20,11.41 liter / second,10 inch,0.0,3 inch,200 millimeter,1.087 inch,82 dimensionless
21,12.12 liter / second,10 inch,0.0,3 inch,210 millimeter,1.127 inch,79 dimensionless
22,12.79 liter / second,10 inch,0.0,3 inch,220 millimeter,1.166 inch,76 dimensionless
23,13.62 liter / second,10 inch,0.0,3 inch,230 millimeter,1.206 inch,74 dimensionless
24,14.43 liter / second,10 inch,0.0,3 inch,240 millimeter,1.245 inch,72 dimensionless
25,15.22 liter / second,12 inch,0.0,3 inch,250 millimeter,1.284 inch,70 dimensionless
26,15.75 liter / second,12 inch,0.0,3 inch,260 millimeter,1.324 inch,67 dimensionless
27,16.74 liter / second,12 inch,0.0,3 inch,270 millimeter,1.363 inch,66 dimensionless
28,17.45 liter / second,12 inch,0.0,3 inch,280 millimeter,1.402 inch,64 dimensionless
29,18.14 liter / second,12 inch,0.0,3 inch,290 millimeter,1.442 inch,62 dimensionless
30,18.78 liter / second,12 inch,0.0,3 inch,300 millimeter,1.481 inch,60 dimensionless
31,19.72 liter / second,12 inch,0.0,3 inch,310 millimeter,1.52 inch,59 dimensionless
32,20.3 liter / second,12 inch,0.0,3 inch,320 millimeter,1.56 inch,57 dimensionless
33,21.21 liter / second,16 inch,0.0,3 inch,330 millimeter,1.599 inch,56 dimensionless
34,22.11 liter / second,16 inch,0.0,3 inch,340 millimeter,1.639 inch,55 dimensionless
35,22.58 liter / second,16 inch,0.0,3 inch,350 millimeter,1.678 inch,53 dimensionless
36,23.44 liter / second,16 inch,0.0,3 inch,360 millimeter,1.717 inch,52 dimensionless
37,24.29 liter / second,16 inch,0.0,3 inch,370 millimeter,1.757 inch,51 dimensionless
38,25.11 liter / second,16 inch,0.0,3 inch,380 millimeter,1.796 inch,50 dimensionless
39,25.92 liter / second,16 inch,0.0,3 inch,390 millimeter,1.835 inch,49 dimensionless
40,26.71 liter / second,16 inch,0.0,3 inch,400 millimeter,1.875 inch,48 dimensionless
41,27.48 liter / second,16 inch,0.0,3 inch,410 millimeter,1.914 inch,47 dimensionless
42,28.22 liter / second,16 inch,0.0,3 inch,420 millimeter,1.954 inch,46 dimensionless
43,28.94 liter / second,16 inch,0.0,3 inch,430 millimeter,1.993 inch,45 dimensionless
44,30.3 liter / second,16 inch,0.0,2.677 inch,440 millimeter,2 inch,45 dimensionless
45,31.7 liter / second,16 inch,0.0,2.283 inch,450 millimeter,2 inch,45 dimensionless
46,33.12 liter / second,18 inch,0.0,1.89 inch,460 millimeter,2 inch,45 dimensionless
47,34.58 liter / second,18 inch,0.0,1.496 inch,470 millimeter,2 inch,45 dimensionless
