diffuser diameter (mm), diffuser flow, manifold diameter, number channels, bottom height, slab height, diffuser spacing, number diffusers
3,1.265 liter / second,3 inch,4.0,1 inch,30 millimeter,0.2181 inch,404 dimensionless
4,1.909 liter / second,4 inch,2.0,1 inch,40 millimeter,0.2575 inch,343 dimensionless
5,2.583 liter / second,6 inch,2.0,1 inch,50 millimeter,0.2969 inch,297 dimensionless
6,3.293 liter / second,6 inch,1.0,1 inch,60 millimeter,0.3362 inch,263 dimensionless
7,4.005 liter / second,6 inch,1.0,1 inch,70 millimeter,0.3756 inch,235 dimensionless
8,4.742 liter / second,6 inch,1.0,1 inch,80 millimeter,0.415 inch,213 dimensionless
9,5.494 liter / second,6 inch,0.0,1 inch,90 millimeter,0.4543 inch,195 dimensionless
10,6.226 liter / second,8 inch,0.0,1 inch,100 millimeter,0.4937 inch,179 dimensionless
11,6.986 liter / second,8 inch,0.0,1 inch,110 millimeter,0.5331 inch,166 dimensionless
12,7.764 liter / second,8 inch,0.0,1 inch,120 millimeter,0.5724 inch,155 dimensionless
13,8.524 liter / second,8 inch,0.0,1 inch,130 millimeter,0.6118 inch,145 dimensionless
14,9.272 liter / second,8 inch,0.0,1 inch,140 millimeter,0.6512 inch,136 dimensionless
15,10.02 liter / second,10 inch,0.0,1 inch,150 millimeter,0.6906 inch,128 dimensionless
16,10.86 liter / second,10 inch,0.0,1 inch,160 millimeter,0.7299 inch,122 dimensionless
17,11.56 liter / second,10 inch,0.0,1 inch,170 millimeter,0.7693 inch,115 dimensionless
18,12.4 liter / second,10 inch,0.0,1 inch,180 millimeter,0.8087 inch,110 dimensionless
19,13.18 liter / second,10 inch,0.0,1 inch,190 millimeter,0.848 inch,105 dimensionless
20,13.91 liter / second,10 inch,0.0,1 inch,200 millimeter,0.8874 inch,100 dimensionless
21,14.73 liter / second,12 inch,0.0,1 inch,210 millimeter,0.9268 inch,96 dimensionless
22,15.49 liter / second,12 inch,0.0,1 inch,220 millimeter,0.9661 inch,92 dimensionless
23,16.38 liter / second,12 inch,0.0,1 inch,230 millimeter,1.006 inch,89 dimensionless
24,17.03 liter / second,12 inch,0.0,1 inch,240 millimeter,1.045 inch,85 dimensionless
25,17.83 liter / second,12 inch,0.0,1 inch,250 millimeter,1.084 inch,82 dimensionless
26,18.58 liter / second,12 inch,0.0,1 inch,260 millimeter,1.124 inch,79 dimensionless
27,19.52 liter / second,12 inch,0.0,1 inch,270 millimeter,1.163 inch,77 dimensionless
28,20.18 liter / second,12 inch,0.0,1 inch,280 millimeter,1.202 inch,74 dimensionless
29,21.06 liter / second,16 inch,0.0,1 inch,290 millimeter,1.242 inch,72 dimensionless
30,21.91 liter / second,16 inch,0.0,1 inch,300 millimeter,1.281 inch,70 dimensionless
31,22.73 liter / second,16 inch,0.0,1 inch,310 millimeter,1.32 inch,68 dimensionless
32,23.51 liter / second,16 inch,0.0,1 inch,320 millimeter,1.36 inch,66 dimensionless
33,24.24 liter / second,16 inch,0.0,1 inch,330 millimeter,1.399 inch,64 dimensionless
34,24.93 liter / second,16 inch,0.0,1 inch,340 millimeter,1.439 inch,62 dimensionless
